[info]
speed	30
torque	/
position	/
gravity	/
termination type	/
termination val	/
stopmode	/
pause	/
[SetUp]	/
anatomical zero	/
mov1	/
mov2	/
end position	/
scale values	/
max GET mov1	/
max GET mov2	/
[filter]	/
filter	/
[markers by index]	/
move 1	/
move 2	/
max power start	/
max power end	/
	/
[data]
-6.03024	15.13782	-66.96
-6.52902	14.739	-66.904
-6.52902	14.739	-66.848
-6.28014	15.13782	-66.79
-6.28014	15.13782	-66.732
-6.52902	14.739	-66.675
-6.52902	15.13782	-66.617
-6.7779	15.13782	-66.559
-7.02678	15.13782	-66.501
-6.7779	14.739	-66.445
-6.7779	15.13782	-66.387
-6.52902	15.13782	-66.329
-6.52902	15.13782	-66.271
-6.52902	14.739	-66.214
-6.52902	15.53562	-66.155
-7.02678	15.13782	-66.097
-6.7779	15.13782	-66.039
-7.02678	15.13782	-65.981
-7.02678	15.13782	-65.923
-6.52902	15.13782	-65.865
-6.7779	15.13782	-65.807
-6.52902	15.13782	-65.749
-6.52902	14.739	-65.693
-6.52902	15.53562	-65.633
-6.52902	15.13782	-65.575
-6.28014	15.13782	-65.517
-6.28014	15.13782	-65.459
-6.7779	15.13782	-65.401
-6.7779	15.13782	-65.343
-6.52902	14.739	-65.287
-6.52902	15.53562	-65.227
-6.52902	15.13782	-65.169
-6.28014	15.13782	-65.112
-6.7779	15.13782	-65.054
-7.02678	15.53562	-64.994
-6.52902	15.13782	-64.936
-6.7779	15.13782	-64.878
-6.52902	15.13782	-64.82
-6.52902	14.739	-64.764
-6.52902	15.13782	-64.706
-7.02678	15.53562	-64.646
-7.02678	15.53562	-64.587
-7.02678	15.13782	-64.529
-7.02678	15.13782	-64.471
-7.27566	14.739	-64.414
-6.52902	15.53562	-64.355
-6.7779	15.13782	-64.297
-6.7779	15.53562	-64.237
-7.02678	15.13782	-64.179
-6.7779	15.13782	-64.121
-6.7779	15.53562	-64.062
-7.02678	15.13782	-64.004
-7.02678	15.13782	-63.946
-7.52454	15.53562	-63.886
-7.52454	15.13782	-63.829
-7.27566	15.13782	-63.771
-7.27566	15.13782	-63.713
-7.52454	15.13782	-63.655
-7.52454	15.13782	-63.597
-7.52454	15.53562	-63.537
-7.52454	15.53562	-63.478
-7.52454	15.53562	-63.418
